ID,Date,StoreID,MachineType,Amount,Revenue,Revenue ShopA,Revenue ShopB,Revenue ShopC,RO ShopA,RO ShopB,RO ShopC,Alkaline ShopA,Alkaline ShopB,Alkaline ShopC,Hydrogen ShopA,Hydrogen ShopB,Hydrogen ShopC,Ice ShopA,Ice ShopB,Ice ShopC,UV ShopA,UV ShopB,UV ShopC,Mineral ShopA,Mineral ShopB,Mineral ShopC
PAY-00001,2024-12-09,ShopA,Alkaline,8.9,185197.17,62690.94,59835.14,62671.09,8870.91,9777.19,10477.21,11135.98,10383.1,10472.52,11078.62,9970.89,11087.68,10284.21,9559.21,9779.39,9592.66,9772.92,10076.12,11728.56,10371.83,10778.17
PAY-00002,2024-12-09,ShopA,Alkaline,30.95,,,,,,,,,,,,,,,,,,,,,,
PAY-00003,2024-12-09,ShopA,Alkaline,13.57,,,,,,,,,,,,,,,,,,,,,,
PAY-00004,2024-12-09,ShopA,Alkaline,9.88,,,,,,,,,,,,,,,,,,,,,,
PAY-00005,2024-12-09,ShopA,Alkaline,8.59,,,,,,,,,,,,,,,,,,,,,,
PAY-00006,2024-12-09,ShopA,RO,36.23,,,,,,,,,,,,,,,,,,,,,,
PAY-00007,2024-12-09,ShopA,RO,8.04,,,,,,,,,,,,,,,,,,,,,,
PAY-00008,2024-12-09,ShopA,RO,19.77,,,,,,,,,,,,,,,,,,,,,,
PAY-00009,2024-12-09,ShopA,RO,6.04,,,,,,,,,,,,,,,,,,,,,,
PAY-00010,2024-12-09,ShopA,RO,12.65,,,,,,,,,,,,,,,,,,,,,,
PAY-00011,2024-12-09,ShopA,Hydrogen,26.07,,,,,,,,,,,,,,,,,,,,,,
PAY-00012,2024-12-09,ShopA,Hydrogen,24.64,,,,,,,,,,,,,,,,,,,,,,
PAY-00013,2024-12-09,ShopA,Hydrogen,30.06,,,,,,,,,,,,,,,,,,,,,,
PAY-00014,2024-12-09,ShopA,Hydrogen,29.55,,,,,,,,,,,,,,,,,,,,,,
PAY-00015,2024-12-09,ShopA,Ice,12.72,,,,,,,,,,,,,,,,,,,,,,
PAY-00016,2024-12-09,ShopA,Ice,25.62,,,,,,,,,,,,,,,,,,,,,,
PAY-00017,2024-12-09,ShopA,Ice,33.33,,,,,,,,,,,,,,,,,,,,,,
PAY-00018,2024-12-09,ShopA,Mineral,29.43,,,,,,,,,,,,,,,,,,,,,,
